DC_ID	DCC_ID
DC000154	DCC0049
DC000155	DCC0027
DC000155	DCC0082
DC000156	DCC0027
DC000156	DCC0303
DC000157	DCC0057
DC000157	DCC0333
DC000158	DCC0057
DC000158	DCC0082
DC000159	DCC0017
DC000159	DCC0326
DC000160	DCC0138
DC000160	DCC0232
DC000161	DCC0017
DC000161	DCC0110
DC000161	DCC0326
DC000162	DCC0171
DC000162	DCC0232
DC000163	DCC0214
DC000163	DCC0282
DC000163	DCC0298
DC000164	DCC0063
DC000164	DCC0214
DC000165	DCC0173
DC000165	DCC0280
DC000166	DCC0170
DC000166	DCC0450
DC000167	DCC0117
DC000167	DCC0420
DC000167	DCC0475
DC000168	DCC0236
DC000168	DCC0312
DC000169	DCC0117
DC000169	DCC0275
DC000170	DCC0345
DC000170	DCC0434
DC000171	DCC0195
DC000171	DCC0196
DC000172	DCC0170
DC000172	DCC0335
DC000173	DCC0195
DC000173	DCC0265
DC000174	DCC0148
DC000174	DCC0387
DC000175	DCC0124
DC000175	DCC0272
DC000176	DCC0148
DC000176	DCC0215
DC000177	DCC0237
DC000177	DCC0272
DC000178	DCC0323
DC000178	DCC0334
DC000179	DCC0272
DC000179	DCC0305
DC000180	DCC0193
DC000180	DCC0257
DC000181	DCC0117
DC000181	DCC0120
DC000182	DCC0061
DC000182	DCC0131
DC000183	DCC0196
DC000183	DCC0214
DC000184	DCC0016
DC000184	DCC0117
DC000185	DCC0174
DC000185	DCC0253
DC000186	DCC0149
DC000186	DCC0159
DC000187	DCC0148
DC000187	DCC0295
DC000188	DCC0217
DC000188	DCC0253
DC000189	DCC0193
DC000189	DCC0216
DC000189	DCC0257
DC000190	DCC0016
DC000190	DCC0094
DC000190	DCC0245
DC000191	DCC0061
DC000191	DCC0341
DC000192	DCC0143
DC000192	DCC0193
DC000193	DCC0303
DC000193	DCC0371
DC000194	DCC0075
DC000194	DCC0287
DC000195	DCC0267
DC000195	DCC0371
DC000196	DCC0052
DC000196	DCC0352
DC000197	DCC0093
DC000197	DCC0193
DC000198	DCC0155
DC000198	DCC0216
DC000199	DCC0129
DC000199	DCC0192
DC000200	DCC0117
DC000200	DCC0458
DC000201	DCC0186
DC000201	DCC0313
DC000202	DCC0294
DC000202	DCC0328
DC000203	DCC0128
DC000203	DCC0360
DC000204	DCC0259
DC000204	DCC0323
DC000205	DCC0214
DC000205	DCC0298
DC000206	DCC0243
DC000206	DCC0298
DC000207	DCC0349
DC000207	DCC0350
DC000208	DCC0190
DC000208	DCC0353
DC000209	DCC0214
DC000209	DCC0241
DC000210	DCC0214
DC000210	DCC0248
DC000211	DCC0272
DC000211	DCC0342
DC000212	DCC0016
